Date,AAPL,APX
2018-01-02,169.712067,1.55
2018-01-03,169.68251,1.58
2018-01-04,170.47070300000001,1.54
2018-01-05,172.41156,1.55
2018-01-08,171.77117900000002,1.55
2018-01-09,171.751465,1.56
2018-01-10,171.712051,1.56
2018-01-11,172.687408,1.58
2018-01-12,174.470642,1.58
2018-01-16,173.583969,1.61
2018-01-17,176.450928,1.59
2018-01-18,176.608551,1.56
2018-01-19,175.82038899999998,1.52
2018-01-22,174.381973,1.5
2018-01-23,174.421387,1.5
2018-01-24,171.643082,1.51
2018-01-25,168.57908600000002,1.59
2018-01-26,168.973175,1.58
2018-01-29,165.475677,1.55
2018-01-30,164.500336,1.52
2018-01-31,164.953522,1.51
2018-02-01,165.29835500000002,1.51
2018-02-02,158.126022,1.53
2018-02-05,154.175354,1.5
2018-02-06,160.61859099999998,1.52
2018-02-07,157.180222,1.52
2018-02-08,152.85514799999999,1.52
2018-02-09,154.724808,1.51
2018-02-12,160.956924,1.52
2018-02-13,162.569351,1.51
2018-02-14,165.566696,1.49
2018-02-15,171.12616,1.77
2018-02-16,170.57218899999998,1.77
2018-02-20,169.998444,1.72
2018-02-21,169.226852,1.85
2018-02-22,170.641434,1.69
2018-02-23,173.6091,1.77
2018-02-26,177.041733,1.74
2018-02-27,176.46798700000002,1.69
2018-02-28,176.200882,1.7
2018-03-01,173.11450200000002,1.64
2018-03-02,174.311478,1.61
2018-03-05,174.914902,1.68
2018-03-06,174.76651,1.73
2018-03-07,173.14418,1.74
2018-03-08,175.0336,1.78
2018-03-09,178.04083300000002,1.73
2018-03-12,179.762085,1.72
2018-03-13,178.030945,1.68
2018-03-14,176.517426,1.66
2018-03-15,176.72515900000002,1.65
2018-03-16,176.10195900000002,1.64
2018-03-19,173.41128500000002,1.58
2018-03-20,173.351913,1.56
2018-03-21,169.42468300000002,1.67
2018-03-22,167.030762,1.7
2018-03-23,163.16288799999998,1.69
2018-03-26,170.908539,1.69
2018-03-27,166.52626,1.71
2018-03-28,164.686295,1.69
2018-03-29,165.97229,1.69
2018-04-02,164.88414,1.67
2018-04-03,166.57571399999998,1.7
2018-04-04,169.761032,1.76
2018-04-05,170.938202,1.72
2018-04-06,166.565842,1.78
2018-04-09,168.217834,1.78
2018-04-10,171.383347,1.77
2018-04-11,170.582092,1.76
2018-04-12,172.26376299999998,1.83
2018-04-13,172.84741200000002,1.85
2018-04-16,173.925674,1.95
2018-04-17,176.319595,1.75
2018-04-18,175.923889,1.81
2018-04-19,170.938202,1.75
2018-04-20,163.934479,1.73
2018-04-23,163.459656,1.72
2018-04-24,161.184448,1.62
2018-04-25,161.88678000000002,1.68
2018-04-26,162.45065300000002,1.64
2018-04-27,160.571121,1.66
2018-04-30,163.479431,1.7
2018-05-01,167.278061,1.7
2018-05-02,174.667587,1.75
2018-05-03,174.98413100000002,1.72
2018-05-04,181.84935,1.7
2018-05-07,183.165024,1.72
2018-05-08,184.04544099999998,1.74
2018-05-09,185.34133899999998,1.75
2018-05-10,187.992447,1.69
2018-05-11,187.277466,1.69
2018-05-14,186.84051499999998,1.69
2018-05-15,185.142426,1.67
2018-05-16,186.8703,1.65
2018-05-17,185.688599,1.65
2018-05-18,185.013336,1.66
2018-05-21,186.324142,1.65
2018-05-22,185.85742199999999,1.63
2018-05-23,187.049057,1.62
2018-05-24,186.84051499999998,1.6
2018-05-25,187.26753200000002,1.6
2018-05-29,186.59226999999998,1.6
2018-05-30,186.19503799999998,1.58
2018-05-31,185.569427,1.6
2018-06-01,188.915985,1.59
2018-06-04,190.494904,1.63
2018-06-05,191.9646,1.61
2018-06-06,192.629944,1.6
2018-06-07,192.113571,1.6
2018-06-08,190.365814,1.6
2018-06-11,189.899094,1.58
2018-06-12,190.941772,1.58
2018-06-13,189.372772,1.53
2018-06-14,189.472076,1.56
2018-06-15,187.525711,
2018-06-18,187.426422,1.53
2018-06-19,184.39764399999999,1.53
2018-06-20,185.202011,1.55
2018-06-21,184.16925,1.45
2018-06-22,183.632996,1.48
2018-06-25,180.902145,1.48
2018-06-26,183.146408,1.43
2018-06-27,182.878296,1.46
2018-06-28,184.208969,1.44
2018-06-29,183.821686,1.46
2018-07-02,185.877258,1.45
2018-07-03,182.63995400000002,1.48
2018-07-05,184.10965,1.47
2018-07-06,186.661789,1.43
2018-07-09,189.253616,1.45
2018-07-10,189.02520800000002,1.44
2018-07-11,186.572403,1.46
2018-07-12,189.70048500000001,1.44
2018-07-13,189.998398,1.45
2018-07-16,189.581314,1.42
2018-07-17,190.117554,1.44
2018-07-18,189.07486,1.42
2018-07-19,190.544571,1.41
2018-07-20,190.10763500000002,1.42
2018-07-23,190.276443,1.45
2018-07-24,191.656769,1.46
2018-07-25,193.464111,1.44
2018-07-26,192.858353,1.43
2018-07-27,189.650818,1.43
2018-07-30,188.588272,1.41
2018-07-31,188.965622,1.41
2018-08-01,200.09761,1.57
2018-08-02,205.946625,1.51
2018-08-03,206.54245,1.56
2018-08-06,207.61492900000002,1.63
2018-08-07,205.668579,1.58
2018-08-08,205.807602,1.61
2018-08-09,207.426254,1.6
2018-08-10,206.808411,1.63
2018-08-13,208.143753,1.62
2018-08-14,209.020691,1.55
2018-08-15,209.50898700000002,1.55
2018-08-16,212.57829300000003,1.61
2018-08-17,216.82347099999998,1.58
2018-08-20,214.710846,1.59
2018-08-21,214.29229700000002,1.59
2018-08-22,214.302261,1.61
2018-08-23,214.740738,1.6
2018-08-24,215.40840099999997,1.6
2018-08-27,217.18222000000003,1.6
2018-08-28,218.936096,1.62
2018-08-29,222.204681,1.58
2018-08-30,224.247559,1.6
2018-08-31,226.83853100000002,1.59
2018-09-04,227.565979,1.55
2018-09-05,226.08116099999998,1.51
2018-09-06,222.32428,1.5
2018-09-07,220.53053300000002,1.51
2018-09-10,217.570862,1.52
2018-09-11,223.071671,1.5
2018-09-12,220.301346,1.53
2018-09-13,225.62277200000003,1.57
2018-09-14,223.06169100000002,1.58
2018-09-17,217.122421,1.55
2018-09-18,217.481171,1.52
2018-09-19,217.61071800000002,1.5
2018-09-20,219.26495400000002,1.48
2018-09-21,216.903198,1.5
